Date,Hours,Day,Arrivals,Departures
Mar 5 2019,8 AM,Tue,19,37
Mar 5 2019,9 AM,Tue,16,29
Mar 5 2019,10 AM,Tue,13,36
Mar 5 2019,11 AM,Tue,31,17
Mar 5 2019,12 PM,Tue,29,20
Mar 5 2019,1 PM,Tue,33,31
Mar 5 2019,2 PM,Tue,34,27
Mar 5 2019,3 PM,Tue,28,30
Mar 5 2019,4 PM,Tue,26,27
Mar 5 2019,5 PM,Tue,35,26
Mar 5 2019,6 PM,Tue,31,22
Mar 5 2019,7 PM,Tue,30,23
Mar 5 2019,8 PM,Tue,25,35
Mar 5 2019,9 PM,Tue,30,20
Mar 5 2019,10 PM,Tue,35,20
Mar 5 2019,11 PM,Tue,26,14
Mar 6 2019,8 AM,Wed,14,39
Mar 6 2019,9 AM,Wed,17,36
Mar 6 2019,10 AM,Wed,15,34
Mar 6 2019,11 AM,Wed,27,17
Mar 6 2019,12 PM,Wed,28,19
Mar 6 2019,1 PM,Wed,31,29
Mar 6 2019,2 PM,Wed,35,27
Mar 6 2019,3 PM,Wed,22,25
Mar 6 2019,4 PM,Wed,33,33
Mar 6 2019,5 PM,Wed,35,27
Mar 6 2019,6 PM,Wed,44,25
Mar 6 2019,7 PM,Wed,35,28
Mar 6 2019,8 PM,Wed,29,37
Mar 6 2019,9 PM,Wed,28,32
Mar 6 2019,10 PM,Wed,36,23
Mar 6 2019,11 PM,Wed,25,13
Mar 7 2019,8 AM,Thu,19,39
Mar 7 2019,9 AM,Thu,16,33
Mar 7 2019,10 AM,Thu,12,33
Mar 7 2019,11 AM,Thu,30,18
Mar 7 2019,12 PM,Thu,28,20
Mar 7 2019,1 PM,Thu,30,34
Mar 7 2019,2 PM,Thu,31,27
Mar 7 2019,3 PM,Thu,22,25
Mar 7 2019,4 PM,Thu,29,29
Mar 7 2019,5 PM,Thu,41,23
Mar 7 2019,6 PM,Thu,40,22
Mar 7 2019,7 PM,Thu,34,27
Mar 7 2019,8 PM,Thu,29,39
Mar 7 2019,9 PM,Thu,24,26
Mar 7 2019,10 PM,Thu,34,23
Mar 7 2019,11 PM,Thu,23,17
Mar 8 2019,8 AM,Fri,18,41
Mar 8 2019,9 AM,Fri,16,33
Mar 8 2019,10 AM,Fri,21,33
Mar 8 2019,11 AM,Fri,32,21
Mar 8 2019,12 PM,Fri,30,25
Mar 8 2019,1 PM,Fri,32,32
Mar 8 2019,2 PM,Fri,34,33
Mar 8 2019,3 PM,Fri,26,25
Mar 8 2019,4 PM,Fri,35,32
Mar 8 2019,5 PM,Fri,33,27
Mar 8 2019,6 PM,Fri,44,32
Mar 8 2019,7 PM,Fri,35,31
Mar 8 2019,8 PM,Fri,26,37
Mar 8 2019,9 PM,Fri,29,31
Mar 8 2019,10 PM,Fri,38,26
Mar 8 2019,11 PM,Fri,22,18
Mar 9 2019,8 AM,Sat,15,36
Mar 9 2019,9 AM,Sat,18,34
Mar 9 2019,10 AM,Sat,17,35
Mar 9 2019,11 AM,Sat,31,20
Mar 9 2019,12 PM,Sat,27,21
Mar 9 2019,1 PM,Sat,26,33
Mar 9 2019,2 PM,Sat,35,25
Mar 9 2019,3 PM,Sat,24,26
Mar 9 2019,4 PM,Sat,31,30
Mar 9 2019,5 PM,Sat,38,25
Mar 9 2019,6 PM,Sat,32,23
Mar 9 2019,7 PM,Sat,30,22
Mar 9 2019,8 PM,Sat,25,22
Mar 9 2019,9 PM,Sat,29,22
Mar 9 2019,10 PM,Sat,20,16
Mar 9 2019,11 PM,Sat,16,25
Mar 10 2019,8 AM,Sun,17,36
Mar 10 2019,9 AM,Sun,15,33
Mar 10 2019,10 AM,Sun,19,35
Mar 10 2019,11 AM,Sun,30,21
Mar 10 2019,12 PM,Sun,29,25
Mar 10 2019,1 PM,Sun,27,31
Mar 10 2019,2 PM,Sun,33,28
Mar 10 2019,3 PM,Sun,29,29
Mar 10 2019,4 PM,Sun,33,35
Mar 10 2019,5 PM,Sun,36,30
Mar 10 2019,6 PM,Sun,40,28
Mar 10 2019,7 PM,Sun,33,27
Mar 10 2019,8 PM,Sun,32,37
Mar 10 2019,9 PM,Sun,35,24
Mar 10 2019,10 PM,Sun,39,24
Mar 10 2019,11 PM,Sun,24,17
Mar 13 2019,8 AM,Wed,13,41
Mar 13 2019,9 AM,Wed,17,31
Mar 13 2019,10 AM,Wed,14,35
Mar 13 2019,11 AM,Wed,27,16
